SMT Query ID,Position,Function,VC Details,Validity,Solver,Solving Time (sec)
11706,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:73:7:,+,"precond. (call insertStrictlySorted[B](thiss.toList,...)",valid,z3,0.1
11708,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:75:5:,+,body assertion: Inlined precondition of lemmaContainsTupThenGetReturnValue,valid,z3,0.1
11707,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:75:5:,+,precond. (call lemmaContainsTupThenGetReturnValue[B]...),valid,z3,0.1
11709,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:80:5:,+,class invariant,valid,z3,0.1
11710,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:80:5:,+,postcondition,valid,z3,0.1
,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:90:5:,++,body assertion: match exhaustiveness,trivial,,0.0
416,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:90:5:,++,non-negative measure,valid,z3,0.1
417,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:92:36:,++,measure decreases,valid,cvc5,0.1
8874,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:95:7:,-,postcondition,valid,z3,0.1
8873,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:96:5:,-,class invariant,valid,z3,0.1
8872,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:96:17:,-,"precond. (call removeStrictlySorted[B](thiss.toList,...)",valid,z3,0.1
,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:101:5:,--,body assertion: match exhaustiveness,trivial,,0.0
294,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:101:5:,--,non-negative measure,valid,z3,0.1
295,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:103:31:,--,measure decreases,valid,z3,0.1
11392,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:873:12:,addApplyDifferent,body assertion,valid,z3,0.1
11387,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:873:12:,addApplyDifferent,"precond. (call containsKey[B](lm.toList, a0))",valid,z3,0.1
